date,value
"2016-11-26",3064
"2016-11-27",3339
"2016-11-28",5702
"2016-11-29",7809
"2016-11-30",3554
"2016-12-01",4699
"2016-12-02",6666
"2016-12-03",3684
"2016-12-04",4015
"2016-12-05",4848
"2016-12-06",4897
"2016-12-07",9037
"2016-12-08",4588
"2016-12-09",1345
"2016-12-10",1092
"2016-12-11",426
"2016-12-12",2852
"2016-12-13",9238
"2016-12-14",4575
"2016-12-15",10273
"2016-12-16",11732
"2016-12-17",3890
"2016-12-18",3979
"2016-12-19",7216
"2016-12-20",5203
"2016-12-21",6799
"2016-12-22",1495
"2016-12-23",2413
"2016-12-24",6691
"2016-12-25",5797
"2016-12-26",9347
"2016-12-27",6223
"2016-12-28",2157
"2016-12-29",2984
"2016-12-30",3047
"2016-12-31",2262
"2017-01-01",11764
"2017-01-02",6903
"2017-01-03",3908
"2017-01-04",7261
"2017-01-05",9966
"2017-01-06",11397
"2017-01-07",6558
"2017-01-08",6296
"2017-01-09",5577
"2017-01-10",8616
"2017-01-11",10615
"2017-01-12",3887
"2017-01-13",4240
"2017-01-14",7013
"2017-01-15",3950
"2017-01-16",9979
"2017-01-17",4037
"2017-01-18",3581
"2017-01-19",2743
"2017-01-20",6373
"2017-01-21",3521
"2017-01-22",4574
"2017-01-23",5543
"2017-01-24",5105
"2017-01-25",9814
"2017-01-26",7194
"2017-01-27",7541
"2017-01-28",4813
"2017-01-29",1879
"2017-01-30",4834
"2017-01-31",4102
"2017-02-01",8171
"2017-02-02",4476
"2017-02-03",5260
"2017-02-04",7073
"2017-02-05",2493
"2017-02-06",7771
"2017-02-07",6075
"2017-02-08",12652
"2017-02-09",22829
"2017-02-10",9803
"2017-02-11",4002
"2017-02-12",5552
"2017-02-13",10908
"2017-02-14",4176
"2017-02-15",2491
"2017-02-16",6413
"2017-02-17",9762
"2017-02-18",7066
"2017-02-19",3261
"2017-02-20",9266
"2017-02-21",6543
"2017-02-22",4474
"2017-02-23",7174
"2017-02-24",8053
"2017-02-25",2787
"2017-02-26",2064
"2017-02-27",5881
"2017-02-28",4184
"2017-03-01",4975
"2017-03-02",8270
"2017-03-03",7161
"2017-03-04",5288
"2017-03-05",2919
"2017-03-06",6436
"2017-03-07",6238
"2017-03-08",8200
"2017-03-09",9701
"2017-03-10",6142
"2017-03-11",8398
"2017-03-12",5744
"2017-03-13",2558
"2017-03-14",2383
"2017-03-15",1743
"2017-03-16",7030
"2017-03-17",3801
"2017-03-18",4579
"2017-03-19",9669
"2017-03-20",1283
"2017-03-21",3595
"2017-03-22",965
"2017-03-23",8294
"2017-03-24",2585
"2017-03-25",2583
"2017-03-26",3942
"2017-03-27",2212
"2017-03-28",4378
"2017-03-29",5889
"2017-03-30",5295
"2017-03-31",4876
"2017-04-01",543
"2017-04-02",1291
"2017-04-03",1001
"2017-04-04",1677
"2017-04-05",1540
"2017-04-06",3542
"2017-04-07",10919
"2017-04-08",3814
"2017-04-09",2105
"2017-04-10",816
"2017-04-11",4411
"2017-04-12",1085
"2017-04-13",6313
"2017-04-14",715
"2017-04-15",6175
"2017-04-16",3357
"2017-04-17",1549
"2017-04-18",4599
"2017-04-19",7504
"2017-04-20",8383
"2017-04-21",4987
"2017-04-22",4814
"2017-04-23",3110
"2017-04-24",4105
"2017-04-25",4153
"2017-04-26",1328
"2017-04-27",3661
"2017-04-28",5047
"2017-04-29",6590
"2017-04-30",1994
"2017-05-01",1147
