date,value
"2016-10-03",4.63018503
"2016-10-04",3.26470600
"2016-10-05",5.96632082
"2016-10-06",6.40013426
"2016-10-07",5.13705561
"2016-10-08",2.7886866
"2016-10-09",3.10857198
"2016-10-10",3.85847593
"2016-10-11",4.077919892
"2016-10-12",11.41203349
"2016-10-13",7.19285671
"2016-10-14",8.277222598
"2016-10-15",0.55208631
"2016-10-16",5.70777171
"2016-10-17",6.07444735
"2016-10-18",1.91126849
"2016-10-19",3.20946918
"2016-10-20",4.22727039
"2016-10-21",4.38988166
"2016-10-22",4.22200356
"2016-10-23",4.61156313
"2016-10-24",2.29384744
"2016-10-25",2.58537291
"2016-10-26",3.41370302
"2016-10-27",6.603134366
"2016-10-28",5.524331237
"2016-10-29",2.77948232
"2016-10-30",6.90616630
"2016-10-31",6.25870824
"2016-11-01",3.60877571
"2016-11-02",3.21635242
"2016-11-03",4.87147191
"2016-11-04",7.77734798
"2016-11-05",5.53935132
"2016-11-06",4.51555785
"2016-11-07",6.08706501
"2016-11-08",8.68082382
"2016-11-09",2.74530101
"2016-11-10",5.85832777
"2016-11-11",1.24722727
"2016-11-12",1.00140990
"2016-11-13",0.51819742
"2016-11-14",2.05590861
"2016-11-15",1.00640689
"2016-11-16",3.79787095
"2016-11-17",3.90822610
"2016-11-18",7.41921950
"2016-11-19",0.98398190
"2016-11-20",1.15841571
"2016-11-21",1.79036385
"2016-11-22",2.24731095
"2016-11-23",2.61103834
"2016-11-24",0.36389969
"2016-11-25",3.31672331
"2016-11-26",1.86081366
"2016-11-27",1.98470619
"2016-11-28",3.59445994
"2016-11-29",5.59146342
"2016-11-30",2.70327572
"2016-12-01",3.34188881
"2016-12-02",4.394167599
"2016-12-03",2.31461626
"2016-12-04",2.49306935
"2016-12-05",3.55480369
"2016-12-06",3.73286560
"2016-12-07",6.83411104
"2016-12-08",3.36557452
"2016-12-09",0.87379988
"2016-12-10",0.69849903
"2016-12-11",0.30460353
"2016-12-12",1.94917556
"2016-12-13",5.76686194
"2016-12-14",3.03384796
"2016-12-15",7.19247167
"2016-12-16",8.46011799
"2016-12-17",2.66972190
"2016-12-18",2.68418137
"2016-12-19",5.29150379
"2016-12-20",3.58819080
"2016-12-21",4.63134810
"2016-12-22",0.8747535
"2016-12-23",1.465186048
"2016-12-24",4.10991441
"2016-12-25",3.71180614
"2016-12-26",7.20057704
"2016-12-27",4.51009937
"2016-12-28",1.25837192
"2016-12-29",1.97520811
"2016-12-30",1.87607532
"2016-12-31",1.3472101
"2017-01-01",8.64925968
"2017-01-02",4.08566175
"2017-01-03",2.55975063
"2017-01-04",4.47821228
"2017-01-05",8.05303030
"2017-01-06",9.10847436
"2017-01-07",4.97132095
"2017-01-08",3.82295644
"2017-01-09",4.12255545
"2017-01-10",6.43179489
"2017-01-11",7.96025749
"2017-01-12",2.36064383
"2017-01-13",2.54744170
"2017-01-14",4.08623709
"2017-01-15",2.35623384
"2017-01-16",7.09956166
"2017-01-17",2.60748713
"2017-01-18",2.18471764
"2017-01-19",1.778765879
"2017-01-20",4.01678672
"2017-01-21",2.108234562
"2017-01-22",2.89635712
"2017-01-23",4.02360735
"2017-01-24",3.33667038
"2017-01-25",7.6662735017
"2017-01-26",5.81225143
"2017-01-27",5.582062326
"2017-01-28",3.58321254
"2017-01-29",0.89418685
"2017-01-30",3.36356262
"2017-01-31",2.6388317
"2017-02-01",5.94161931
"2017-02-02",2.399914106
"2017-02-03",3.55663253
"2017-02-04",3.600837492
"2017-02-05",1.05020010
"2017-02-06",4.437514323
"2017-02-07",3.08315399
"2017-02-08",9.152339041
"2017-02-09",17.47784383
"2017-02-10",6.13916310
